ANO_ATEND,ANO_CMPT,CID,CNES,MES_ATEND,MES_CMPT,ORIGEM,PERIODO_ATEND,PERIODO_CMPT,QTD,SIGITAP,TIPO,UF
2017,2017,I639,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,16,306020106,PROC,SP
2017,2017,D649,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,7,306020106,PROC,SP
2017,2017,Z006,2077485,2,2,PA_APAC,2017/02-A,2017/02-C,50,306020106,PROC,SP
2017,2017,R18,2082861,2,2,PA_APAC,2017/02-A,2017/02-C,2,306020106,PROC,SP
2017,2017,Q210,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,2,306020106,PROC,SP
2017,2017,0,2093537,1,2,PA_APAC,2017/01-A,2017/02-C,2,306020106,PROC,SP
2017,2017,N19,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,P749,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,6,306020106,PROC,SP
2017,2017,0,2093537,2,2,PA_APAC,2017/02-A,2017/02-C,8,306020106,PROC,SP
2017,2017,I850,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,5,306020106,PROC,SP
2017,2017,C920,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,24,306020106,PROC,SP
2017,2017,K703,2748223,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,I060,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,8,306020084,PROC,SP
2017,2017,0,2077531,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,Z944,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,49,306020084,PROC,SP
2017,2017,I710,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,6,306020084,PROC,SP
2017,2017,D759,2088576,2,2,PA_APAC,2017/02-A,2017/02-C,2,306020106,PROC,SP
2017,2017,C920,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,53,306020084,PROC,SP
2017,2017,I421,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,Q213,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,K658,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,8,306020084,PROC,SP
2017,2017,Q255,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,1,306020106,PROC,SP
2017,2017,C168,2080931,2,2,PA_APAC,2017/02-A,2017/02-C,1,306020106,PROC,SP
2017,2017,N228,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,4,306020106,PROC,SP
2017,2017,D134,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,1,306020084,PROC,SP
2017,2017,Q210,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,2,306020084,PROC,SP
2017,2017,O231,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,4,306020106,PROC,SP
2017,2017,K760,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,I710,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,P749,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,8,306020084,PROC,SP
2017,2017,Q213,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,1,306020084,PROC,SP
2017,2017,K746,2748223,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,0,2080273,1,2,PA_APAC,2017/01-A,2017/02-C,6,306020106,PROC,SP
2017,2017,D45,2080273,2,2,PA_APAC,2017/02-A,2017/02-C,5,306020106,PROC,SP
2017,2017,K658,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,16,306020106,PROC,SP
2017,2017,K922,2078511,2,2,PA_APAC,2017/02-A,2017/02-C,2,306020106,PROC,SP
2017,2017,H348,2078015,2,2,PA_APAC,2017/02-A,2017/02-C,4,306020106,PROC,SP
2017,2017,0,2070596,2,2,PA_APAC,2017/02-A,2017/02-C,6,306020106,PROC,SP
2017,2017,0,2084228,2,2,PA_APAC,2017/02-A,2017/02-C,2,306020106,PROC,SP
2017,2017,N131,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,6,306020106,PROC,SP
2017,2017,0,2081458,2,2,PA_APAC,2017/02-A,2017/02-C,6,306020106,PROC,SP
2017,2017,T07,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,31,306020106,PROC,SP
2017,2017,K921,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,1,306020106,PROC,SP
2017,2017,N180,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,6,306020106,PROC,SP
2017,2017,C679,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,6,306020084,PROC,SP
2017,2017,K740,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,12,306020106,PROC,SP
2017,2017,W269,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,7,306020106,PROC,SP
2017,2017,0,2077647,2,2,PA_APAC,2017/02-A,2017/02-C,5,306020106,PROC,SP
2017,2017,R100,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,6,306020106,PROC,SP
2017,2017,C910,2077477,2,2,PA_APAC,2017/02-A,2017/02-C,10,306020084,PROC,SP
2017,2017,0,2079410,2,2,PA_APAC,2017/02-A,2017/02-C,13,306020106,PROC,SP
2017,2017,0,2047438,2,2,PA_APAC,2017/02-A,2017/02-C,351,306020106,PROC,SP
2017,2017,C910,2077477,1,2,PA_APAC,2017/01-A,2017/02-C,4,306020084,PROC,SP
2017,2017,0,2070812,2,2,PA_APAC,2017/02-A,2017/02-C,18,306020106,PROC,SP
2017,2017,S065,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,7,306020106,PROC,SP
2017,2017,K740,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,9,306020084,PROC,SP
2017,2017,K922,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,6,306020084,PROC,SP
2017,2017,A419,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,14,306020106,PROC,SP
2017,2017,C548,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,D630,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,8,306020106,PROC,SP
2016,2017,M311,2078015,12,2,PA_APAC,2016/12-A,2017/02-C,4,306020106,PROC,SP
2017,2017,0,2091755,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,I060,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,14,306020106,PROC,SP
2017,2017,0,2081695,1,2,PA_APAC,2017/01-A,2017/02-C,3,306020106,PROC,SP
2017,2017,C629,2748223,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2016,2017,K922,2078015,12,2,PA_APAC,2016/12-A,2017/02-C,1,306020106,PROC,SP
2017,2017,R579,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,4,306020106,PROC,SP
2017,2017,0,2688689,2,2,PA_APAC,2017/02-A,2017/02-C,9,306020084,PROC,SP
2017,2017,Z000,2702193,3,3,PA_APAC,2017/03-A,2017/03-C,2,306020106,PROC,SP
2017,2017,0,2069776,3,3,PA_APAC,2017/03-A,2017/03-C,5,306020106,PROC,SP
2017,2017,R060,2708779,3,3,PA_APAC,2017/03-A,2017/03-C,2,306020106,PROC,SP
2017,2017,0,2025361,3,3,PA_APAC,2017/03-A,2017/03-C,3,306020106,PROC,SP
2017,2017,0,2082349,3,3,PA_APAC,2017/03-A,2017/03-C,2,306020106,PROC,SP
